ก.	kram0	gram;abbr. for กรัม
กระจ้อย	kra0cOj2	tiny;small;little
กระจ้อยร่อย	kra0cOj2rOj2	tiny;small;little
กระฉอก	kra0CO:k1	to spill;to splash out;to spatter;to sprinkle
กระฉอกกระแฉก	kra0CO:k1kra0CE:k1	to spill
กระฉับกระเฉง	kra0Cap1kra0Ce:N4	vigorous;energetic;active;lively;strong;robust
กระฉิ่ง	kra0CiN1	long-handled umbrella;royal ceremony sunshade;CL: คัน
กระฉ่อน	kra0COn1	far and wide (rumour);resoundingly;notoriously
กระชดกระช้อย	kra0Cot3kra0CO:j3	graceful;beautiful;coquettish;gentle and lovely
กระชอน	kra0CO:n0	colander;strainer;CL: อัน
กระชอมดอก	kra0CO:m0dO:k1	flower bearing no fruit;anther of climbing plant;CL: ดอก
กระชัง	kra0CaN0	floating basket (for keeping fish in water);CL: ใบ, ลูก
กระชับ	kra0Cap3	to fit closely;fastened firmly;tight;to strengthen;to tighten;to reinforce;to support;to promote;to intensify;concise
กระชั้น	kra0Can3	to come close;to approach;rapid;following close
กระชั้นชิด	kra0Can3Cit3	close;near;to come near;to approach
กระชาก	kra0Ca:k2	to jerk;to pull sharply;to drag;to uncover;loud;harsh;snappish
กระชากเสียง	kra0Ca:k2si:aN4	to shout;to yell
กระชิง	kra0CiN0	long-handled umbrella
กระชุ	kra0Cu3	crate (made of loosely woven strips of bamboo);bamboo crate;CL: ใบ, ลูก
กระชุก	kra0Cuk3	table of weight used in the former time;unit of Thai capacity
กระชุ่มกระชวย	kra0Cum2kra0Cu:aj0	full of vitality;energetic
กระช้อยนางรำ	kra0COj3na:N0ram0	species of plant
กระซับ	kra0sap3	officer who takes care of goods in the cargo ship
กระซับปากเรือ	kra0sap3pa:k1rW:a0	officer who takes care of goods in the cargo ship
กระซิก	kra0sik3	to snuggle up;to stand or sit or lie close to;to lean upon;to sob
กระซิกกระซวย	kra0sik3kra0su:aj0	to snuggle up
กระซิกกระซี้	kra0sik3kra0si:3	to banter;to tease;to take liberties with each other
กระซิก ๆ	kra0sik3kra0sik3	to sobbingly
กระซิบ	kra0sip3	to whisper;to murmur;to mutter
กระซิบกระซาบ	kra0sip3kra0sa:p2	to whisper
กระซิบบอก	kra0sip3bO:k1	to whisper
กระซี้กระซิก	kra0si:3kra0sik3	sobbingly
กระซุบกระซิบ	kra0sup3kra0sip3	to gossip;to whisper to each other
กระซู่	kra0su:2	Sumatran rhinoceros;Asian doubled-horned rhinoceros;CL: ตัว
กระซ่องกระแซ่ง	kra0sON2kra0sEN2	limp
กระดก	kra0dok1	to flap;to rise one end;to tilt;to bounce;to turn upward;to bend upward
กระดกกระดนโด่	kra0dok1kra0don0do:1	to have an ill manner
กระดวง	kra0du:aN0	a half shell of coconut;CL: อัน
กระดอ	kra0dO:0	penis
กระดอง	kra0dO:N0	carapace;shell;CL: กระดอง, ฝา
กระดองหาย	kra0dO:N0ha:j4	an implement for spreading straw out on the threshing floor;hayfork;Thai hayrack or hayscatterer;CL: คัน
กระดองเต่า	kra0dO:N0taw1	turtle's back
กระดอน	kra0dO:n0	to bounce;to rebound;to leap
กระดักกระเดี้ย	kra0dak1kra0di:a2	weak
กระดังงา	kra0daN0Na:0	ilang ilang;CL: ต้น, ดอก
กระดังงาใหญ่	kra0daN0Na:0jaj1	ilang ilang
กระดาก	kra0da:k1	embarrassed;to feel diffident;shy;coy;abashed
กระดากกระเดื่อง	kra0da:k1kra0dW:aN1	to feel embarrassed
กระดากอาย	kra0da:k1a:j0	to feel embarrassed
กระดากใจ	kra0da:k1caj0	to feel embarrassed
กระดาน	kra0da:n0	board;CL: แผ่น;classifier for board game matches
กระดานชนวน	kra0da:n0Ca0nu:an0	slate;CL: แผ่น
กระดานดำ	kra0da:n0dam0	blackboard;chalkboard;greenboard;CL: แผ่น
กระดานถีบ	kra0da:n0Ti:p1	mud sled;CL: แผ่น
กระดานลื่น	kra0da:n0lW:n2	slide;CL: ชุด
กระดานหก	kra0da:n0hok1	seesaw;CL: ชุด
กระดานหมากรุก	kra0da:n0ma:k1ruk3	chessboard;checker board;CL: กระดาน
กระดานโต้คลื่น	kra0da:n0to:2KlW:n2	surfboard;CL: แผ่น
กระดานไฟ	kra0da:n0faj0	heat treatment board (after giving birth of a child);CL: แผ่น
กระดาษ	kra0da:t1	paper;CL: แผ่น
กระดาษกรอง	kra0da:t1krO:N0	filter paper
กระดาษกาว	kra0da:t1ka:w0	masking tape
กระดาษก๊อบปี้	kra0da:t1kOp3pi:2	carbon paper
กระดาษข่อย	kra0da:t1KOj1	paper made from the fibres of streblus asper;CL: แผ่น
กระดาษชานอ้อย	kra0da:t1Ca:n0O:j2	bagasse;CL: แผ่น
กระดาษชำระ	kra0da:t1Cam0ra3	toilet paper;toilet tissue;CL: แผ่น, ม้วน
กระดาษซับ	kra0da:t1sap3	bond;blotting paper;bond paper;CL: แผ่น
กระดาษซับมัน	kra0da:t1sap3man0	facial tissue;facial paper;oil clear sheet;CL: แผ่น
กระดาษทราย	kra0da:t1sa:j0	sandpaper;CL: แผ่น
กระดาษทิชชู	kra0da:t1Tit3Cu:2	tissue paper
กระดาษปอนด์	kra0da:t1pO:n0	fine printing paper;CL: แผ่น
กระดาษฟาง	kra0da:t1fa:N0	straw paper;coarse paper;rice paper;CL: แผ่น
กระดาษฟุลสแก๊ป	kra0da:t1fun0sa0kE:p3	foolscap
กระดาษลอกลาย	kra0da:t1lO:k2la:j0	stencil paper
กระดาษวาดแบบ	kra0da:t1wa:t2bE:p1	drawing board
กระดาษว่าว	kra0da:t1wa:w2	kite-making paper;CL: แผ่น
กระดาษสา	kra0da:t1sa:4	mulberry paper;CL: แผ่น
กระดาษสายรุ้ง	kra0da:t1sa:j4ruN3	rainbow paper
กระดาษสี	kra0da:t1si:4	colored paper;CL: แผ่น
กระดาษหนังสือพิมพ์	kra0da:t1naN3sW:4Pim0	newsprint;newspaper sheet;CL: แผ่น
กระดาษอาร์ต	kra0da:t1a:t3	art paper;coated paper;CL: แผ่น
กระดาษเขียนจดหมาย	kra0da:t1Ki:an4cot1ma:j4	writing paper;note paper;letter paper;stationery;CL: แผ่น
กระดาษเขียนแบบ	kra0da:t1Ki:an4bE:p1	drawing board
กระดาษเงินกระดาษทอง	kra0da:t1Nxn0kra0da:t1TO:N0	silver and gold paper;CL: แผ่น
กระดาษเช็ดปาก	kra0da:t1Cet3pa:k1	paper napkin;napkin;CL: แผ่น
กระดาษแก้ว	kra0da:t1kE:w2	cellophane;tracing paper;CL: แผ่น
กระดาษแข็ง	kra0da:t1KEN4	cardboard;paper board;pulp board;millboard;CL: แผ่น
กระดาษโรเนียว	kra0da:t1ro:0ni:aw0	duplicating paper;mimeographing paper;CL: แผ่น
กระดาษไข	kra0da:t1Kaj4	stencil paper;waxed sheet;CL: แผ่น
กระดำกระด่าง	kra0dam0kra0da:N1	spotted;stained;dirty;mottled;speckled
กระดิก	kra0dik1	to beckon;to swing;to wag;to wiggle;to shake
กระดิกกระเดี้ย	kra0dik1kra0di:a2	to move;to stir;to budge
กระดิบ	kra0dip1	to wriggle;to squirm;to writhe;to twist
กระดิบ ๆ	kra0dip1kra0dip1	slowly;squirmingly;wrigglingly
กระดิ่ง	kra0diN1	bell;small bell;CL: ใบ, ลูก
กระดี่	kra0di:1	Trichogaster trichopterus
กระดี๊กระด๊า	kra0di:3kra0da:3	to giggle mirthfully;to tremble
กระดึง	kra0dWN0	cowbell;wind bell;church bell;CL: ใบ, ลูก
กระดึบ	kra0dWp1	to wriggle
กระดึ๊บ	kra0dWp3	to crawl
กระดืบ	kra0dW:p1	to crawl;to creep
กระดุกกระดิก	kra0duk1kra0dik1	to move;to stir;to wag;to wriggle;to fidget
กระดุบกระดิบ	kra0dup1kra0dip1	slowly
กระดุบ ๆ	kra0dup1kra0dup1	slowly
กระดุม	kra0dum0	button;stud;buckle;CL: เม็ด
กระดุ้งกระดิ้ง	kra0duN2kra0diN2	girlishly;coquettishly;affectedly
กระดูก	kra0du:k1	bone;CL: ท่อน, ชิ้น, ซี่;stingy
กระดูกก้นกบ	kra0du:k1kon2kop1	coccyx
กระดูกขัดมัน	kra0du:k1Kat1man0	stingy
กระดูกคอ	kra0du:k1KO:0	neck bone;cervical vertebra;CL: ชิ้น
กระดูกงู	kra0du:k1Nu:0	keel (of a boat);CL: อัน
กระดูกจมูก	kra0du:k1ca0mu:k1	bridge (of a nose)
กระดูกซี่โครง	kra0du:k1si:2Kro:N0	rib;CL: ชิ้น
กระดูกนำเสียง	kra0du:k1nam0si:aN4	auditory ossicles
กระดูกสันหลัง	kra0du:k1san4laN4	backbone;spine;vertebral column;spinal column
กระดูกหน้าผาก	kra0du:k1na:2Pa:k1	frontal bone
กระดูกอึ่ง	kra0du:k1WN1	Dendrolobiam lanceolatum Schindi
กระดูกเขียด	kra0du:k1Ki:at1	Dendrolobiam lanceolatum Schindi
กระดูกเชิงกราน	kra0du:k1Cx:N0kra:n0	pelvis;hip bone;CL: ชิ้น
กระดูกเทอร์บิเนต	kra0du:k0Tx:0bi1ne:t2	turbinate bone;nasal concha
กระดูกโกลน	kra0du:k1klo:n0	stirrup-shaped bone of ear;stapes
กระดูกโครงอก	kra0du:k1Kro:N0ok1	rib
กระดูกโหนกแก้ม	kra0du:k1no:k1kE:m2	jugal bone;malar bone;cheek bone;zygomatic bone
กระดูกไหปลาร้า	kra0du:k1haj4pla:0ra:3	collarbone
กระด้ง	kra0doN2	threshing basket;rice-winnowing basket;CL: ใบ, ลูก
กระด้วมกระเดี้ยม	kra0du:am2kra0di:am2	slowly;leisurely;inactively
กระด้าง	kra0da:N2	harsh;brusque;hard;rough;strong;tough
กระด้างกระเดื่อง	kra0da:N2kra0dW:aN1	to disobey;to resist;to refuse;stubborn
กระตรุด	kra0trut1	charm of rolled gold or silver strips strung around the waist or the neck;CL: อัน
กระติก	kra0tik1	water canteen;water bottle;canteen;watering can;thermos bottle;CL: ใบ, ลูก
กระติกน้ำ	kra0tik1na:m3	water canteen
กระติกน้ำร้อน	kra0tik1nam3rO:n3	vacuum bottle;thermos;CL: ใบ, ลูก
กระติกน้ำแข็ง	kra0tik1nam3KEN4	vacuum flask;vacuum bottle;CL: ใบ, ลูก
กระตือรือร้น	kra0tW:0rW:0ron3	enthusiastic;anxious;eager;hasty;ardent;active
กระตุก	kra0tuk1	to pull violently;to have a spasm
กระตุกกระติก	kra0tuk1kra0tik1	to shake
กระตุ่น	kra0tun1	mole;bamboo rat;CL: ตัว
กระตุ้งกระติ้ง	kra0tuN2kra0tiN2	girlish;coquettish;affected
กระตุ้น	kra0tun2	to urge;to encourage;to support;to stimulate;to activate;to provoke
กระตุ้นเตือน	kra0tun2tW:an0	to stimulate;to waken;to animate;to stir up;to encourage;to promote
กระตุ้นเร้า	kra0tun2raw3	to encourage
กระตูบ	kra0tu:p1	hut;shack;shanty;shed;hovel
กระต่องกระแต่ง	kra0tON1kra0tEN1	to and fro
กระต่าย	kra0ta:j1	rabbit;CL: ตัว;coconut grater;CL: คัว
กระต่ายขูดมะพร้าว	kra0ta:j1Ku:t1ma0Pra:w3	coconut grater;CL: ตัว
กระต่ายจีน	kra0ta:j1ci:n0	coconut grater;CL: แผ่น, อัน
กระต่ายเต้น	kra0ta:j1ten2	rhythm of old Thai classical
กระต้วมกระเตี้ยม	kra0tu:am2kra0ti:am2	inactively;clumsily;slowly;creepingly
กระต๊อบ	kra0tO:p3	hut;shack;shanty;shed;hovel;cottage;CL: หลัง
กระถด	kra0Tot1	to move back or out a little;to move;to shift
กระถาง	kra0Ta:N4	pot;pitcher;vessel;CL: ใบ, ลูก
กระถางดอกไม้	kra0Ta:N4dO:k1ma:j3	flowerpot;CL: ใบ, ลูก
กระถางต้นไม้	kra0Ta:N4ton2ma:j3	flowerpot;CL: ใบ, ลูก
กระถางธูป	kra0Ta:N4Tu:p2	joss stick pot;incense burner
กระถิก	kra0Tik1	small squirrel
กระถิน	kra0Tin4	Leucaena leucocephala (Lamk.) de Wit;CL: ต้น
กระถินหอม	kra0Tin4hO:m4	Acacia farnesiana Willd.;CL: ต้น
กระถึก	kra0TWk1	small squirrel;Zebra squirrel;CL: ตัว
กระทง	kra0ToN0	banana leave vessel;small container made from banana leaves;CL: ใบ, ลูก;floating basket;CL: ใบ;section;clause;division;point;part;classifier for counts in an indictment
กระทงความ	kra0ToN0Kwa:m0	point;argument;sense;aspect;statement
กระทบ	kra0Top3	to hit;to collide;to affect;to touch;to modify
กระทบกระทั่ง	kra0Top3kra0TaN2	to oppose;to disagree
กระทบกระเทียบ	kra0Top3kra0Ti:ap2	to talk sarcastically
กระทบกระเทือน	kra0Top3kra0TW:an0	to affect;to impact;to influence
กระทบกระเทือนใจ	kra0Top3kra0TW:an0caj0	to hurt one's feelings;to be mentally moved
กระทบกระแทก	kra0Top3kra0TE:k2	to talk sarcastically
กระทบตา	kra0Top3ta:0	to strike the eyes
กระทบใจ	kra0Top3caj0	to hurt one's feelings;to be mentally moved
กระทบไหล่	kra0Top3laj1	to meet;to talk
กระทรวง	kra0su:aN0	ministry;CL: กระทรวง
กระทรวงกลาโหม	kra0su:aN0ka0la:0ho:m4	Ministry of Defence;CL: กระทรวง
กระทรวงการคลัง	kra0su:aN0ka:n0KlaN0	Ministry of Finance;CL: กระทรวง
กระทรวงการต่างประเทศ	kra0su:aN0ka:n0ta:N1pra0Te:t2	Ministry of Foreign Affairs;CL: กระทรวง
กระทรวงคมนาคม	kra0su:aN0Ka0ma0na:0Kom0	Ministry of Transportation and Communications;CL: กระทรวง
กระทรวงพาณิชย์	kra0su:aN0Pa:0nit3	Ministry of Commerce;CL: กระทรวง
กระทรวงมหาดไทย	kra0su:aN0ma0ha:t1Taj0	Ministry of Interior;CL: กระทรวง
กระทรวงยุติธรรม	kra0su:aN0jut3ti1Tam0	Ministry of Justice;CL: กระทรวง
กระทรวงวิทยาศาสตร์เทคโนโลยีและสิ่งแวดล้อม	kra0su:aN0wit3Ta0ja:0sa:t1Tek3no:0lo:0ji:0lE3siN1wE:t2lO:m3	Ministry of Science Technology and Environment
กระทรวงวิทยาศาสตร์	kra0su:aN0wit3Ta0ja:0sa:t1	Ministry of Science Technology and Environment
กระทรวงศึกษาธิการ	kra0su:aN0sWk1sa:4Ti3ka:n0	Ministry of Education;CL: กระทรวง
กระทรวงสาธารณสุข	kra0su:aN0sa:4Ta:0ra0na0suk1	Ministry of Public Health
กระทรวงอุตสาหกรรม	kra0su:aN0ut1sa:4ha0kam0	Ministry of Industry;CL: กระทรวง
กระทรวงเกษตรและสหกรณ์	kra0su:aN0ka0se:t1lE3sa0ha0kO:n0	Ministry of Agriculture and Cooperatives;CL: กระทรวง
กระทรวงแรงงานและสวัสดิการสังคม	kra0su:aN0rE:N0Na:n0lE3sa0wat1di1ka:n0saN4Kom0	Ministry of Labour and Social Welfare;CL: กระทรวง
กระทะ	kra0Ta3	pan;frying pan;CL: ใบ, ลูก
กระทะใบบัว	kra0Ta3baj0bu:a0	very big pan;large frying pan;CL: ใบ, ลูก
กระทั่ง	kra0TaN2	until;through;till;as far as;onward to
กระทั่งถึง	kra0TaN2TWN4	until
กระทา	kra0Ta:0	partridge;Chinese francolin;CL: ตัว
กระทาย	kra0Ta:j0	small basket;small cylindrical basket having a wide mouth
กระทำ	kra0Tam0	to perform;to do;to carry out;to make;to act
